"","Date","Open","High","Low","Close","Adj_Close","Volume"
"1","Mar 14, 2018","160.17","160.68","157.74","158.12","158.12","3,614,300"
"2","Mar 13, 2018","160.09","162.11","158.81","159.32","159.32","4,185,600"
"3","Mar 12, 2018","159.64","161.02","158.87","160.26","160.26","5,063,500"
"4","Mar 09, 2018","157.47","159.58","157.30","159.31","159.31","5,022,200"
"5","Mar 08, 2018","159.00","159.57","155.07","156.21","156.21","6,455,600"
"6","Mar 07, 2018","155.00","158.83","154.73","158.32","158.32","4,607,700"
"7","Mar 06, 2018","157.28","157.89","155.16","155.72","155.72","3,685,700"
"8","Mar 05, 2018","154.12","157.49","153.75","156.95","156.95","3,670,600"
"9","Mar 02, 2018","152.79","154.76","151.88","154.49","154.49","3,261,100"
"10","Mar 01, 2018","155.53","156.97","152.79","153.81","153.81","4,039,300"
"11","Feb 28, 2018","157.50","158.14","155.80","155.83","155.83","3,803,500"
"12","Feb 27, 2018","158.46","159.78","156.53","156.55","156.55","4,237,300"
"13","Feb 26, 2018","155.81","158.88","155.51","158.58","158.58","3,610,300"
"14","Feb 23, 2018","154.30","155.85","154.07","155.52","155.52","3,256,100"
"15","Feb 22, 2018","154.50","155.04","152.79","153.18","153.18","4,024,600"
"16","Feb 21, 2018","155.43","156.79","153.90","153.96","153.96","3,728,600"
"17","Feb 20, 2018","155.79","155.96","153.87","155.16","155.16","4,489,600"
"18","Feb 16, 2018","155.71","157.79","155.69","156.18","156.18","4,282,900"
"19","Feb 15, 2018","155.50","156.86","153.70","156.01","156.01","5,623,600"
"20","Feb 14, 2018","150.19","155.00","150.00","154.76","154.76","5,479,000"
"21","Feb 13, 2018","150.90","151.18","149.64","150.75","150.75","4,891,000"
"22","Feb 12, 2018","150.90","152.40","150.30","151.40","151.40","5,881,400"
"23","Feb 09, 2018","148.60","150.54","144.40","149.51","149.51","7,828,300"
"24","Feb 08, 2018","152.48","153.16","147.50","147.59","147.59","6,779,100"
"25","Feb 08, 2018","1.5 Dividend",NA,NA,NA,NA,NA
"26","Feb 07, 2018","154.17","155.34","153.28","153.85","152.35","6,149,200"
"27","Feb 06, 2018","150.29","155.49","149.11","155.34","153.83","9,867,700"
"28","Feb 05, 2018","157.89","158.50","150.00","152.53","151.04","8,746,600"
"29","Feb 02, 2018","161.70","162.00","158.87","159.03","157.48","5,251,900"
"30","Feb 01, 2018","163.19","164.13","161.90","162.40","160.82","4,434,200"
"31","Jan 31, 2018","163.75","164.99","162.76","163.70","162.10","4,072,800"
"32","Jan 30, 2018","166.21","166.77","163.16","163.62","162.02","4,902,300"
"33","Jan 29, 2018","167.45","168.39","166.01","166.80","165.17","3,517,000"
"34","Jan 26, 2018","166.12","167.41","165.79","167.34","165.71","3,787,900"
"35","Jan 25, 2018","165.91","166.78","165.19","165.47","163.86","3,302,500"
"36","Jan 24, 2018","166.75","168.72","164.82","165.37","163.76","5,645,000"
"37","Jan 23, 2018","162.82","166.26","162.51","166.25","164.63","7,466,200"
"38","Jan 22, 2018","161.51","163.98","161.11","162.60","161.01","8,480,800"
"39","Jan 19, 2018","164.46","165.40","161.30","162.37","160.79","21,172,500"
"40","Jan 18, 2018","170.00","171.13","168.15","169.12","167.47","14,259,300"
"41","Jan 17, 2018","168.01","169.13","167.26","168.65","167.01","11,710,000"
"42","Jan 16, 2018","165.10","165.29","163.35","163.85","162.25","7,794,200"
"43","Jan 12, 2018","164.02","164.74","163.03","163.14","161.55","5,031,900"
"44","Jan 11, 2018","164.80","164.94","163.30","164.20","162.60","3,794,500"
"45","Jan 10, 2018","162.91","164.33","162.50","164.18","162.58","4,174,100"
"46","Jan 09, 2018","163.90","164.53","163.06","163.83","162.23","4,341,800"
"47","Jan 08, 2018","162.66","163.91","161.70","163.47","161.88","5,237,500"
"48","Jan 05, 2018","162.44","162.90","161.10","162.49","160.91","5,195,800"
"49","Jan 04, 2018","159.65","162.32","159.37","161.70","160.12","7,556,200"
"50","Jan 03, 2018","157.34","159.81","156.33","158.49","156.94","9,441,600"
"51","Jan 02, 2018","154.50","154.81","153.54","154.25","152.75","4,202,500"
"52","Dec 29, 2017","154.17","154.72","153.42","153.42","151.92","3,327,100"
"53","Dec 28, 2017","153.20","154.12","153.20","154.04","152.54","2,687,600"
"54","Dec 27, 2017","152.95","153.18","152.61","153.13","151.64","2,149,300"
"55","Dec 26, 2017","152.51","153.86","152.50","152.83","151.34","2,479,000"
"56","Dec 22, 2017","151.82","153.00","151.50","152.50","151.01","2,990,600"
"57","Dec 21, 2017","153.17","153.46","151.49","151.50","150.02","4,153,900"
"58","Dec 20, 2017","153.65","153.89","152.78","152.95","151.46","3,785,700"
"59","Dec 19, 2017","154.05","154.17","153.09","153.23","151.74","4,116,400"
"60","Dec 18, 2017","153.59","154.18","153.21","153.33","151.84","5,092,800"
"61","Dec 15, 2017","153.61","153.80","152.03","152.50","151.01","11,279,900"
"62","Dec 14, 2017","154.60","155.11","153.70","154.00","152.50","4,637,400"
"63","Dec 13, 2017","156.60","156.73","153.89","153.91","152.41","5,661,600"
"64","Dec 12, 2017","157.30","157.85","155.16","156.74","155.21","6,321,800"
"65","Dec 11, 2017","155.46","155.89","154.57","155.41","153.89","4,102,700"
"66","Dec 08, 2017","154.98","155.03","153.55","154.81","153.30","3,520,300"
"67","Dec 07, 2017","153.59","154.45","153.26","153.57","152.07","3,771,100"
"68","Dec 06, 2017","154.10","156.22","154.09","154.10","152.60","3,410,700"
"69","Dec 05, 2017","156.45","156.74","154.68","155.35","153.84","5,068,000"
"70","Dec 04, 2017","155.96","156.80","155.07","156.46","154.93","4,664,300"
"71","Dec 01, 2017","154.40","155.02","152.91","154.76","153.25","5,567,900"
"72","Nov 30, 2017","153.65","154.41","153.08","153.97","152.47","6,500,800"
"73","Nov 29, 2017","152.81","153.61","152.17","153.55","152.05","5,098,700"
"74","Nov 28, 2017","152.35","152.93","151.70","152.47","150.98","3,973,700"
"75","Nov 27, 2017","152.06","152.49","151.62","151.98","150.50","3,374,000"
"76","Nov 24, 2017","151.95","152.20","151.33","151.84","150.36","1,193,000"
"77","Nov 22, 2017","152.00","152.39","151.33","151.77","150.29","3,213,600"
"78","Nov 21, 2017","151.30","152.45","151.20","151.95","150.47","3,756,200"
"79","Nov 20, 2017","150.64","151.95","149.90","150.51","149.04","5,676,500"
"80","Nov 17, 2017","149.34","150.15","148.83","148.97","147.52","4,916,500"
"81","Nov 16, 2017","147.73","149.65","147.50","149.12","147.67","5,446,500"
"82","Nov 15, 2017","148.00","148.71","146.21","147.10","145.67","4,773,300"
"83","Nov 14, 2017","147.95","148.97","147.49","148.89","147.44","3,758,000"
"84","Nov 13, 2017","148.88","149.00","147.92","148.40","146.95","5,107,500"
"85","Nov 10, 2017","150.65","150.89","149.14","149.16","147.71","4,307,300"
"86","Nov 09, 2017","149.93","151.80","149.86","150.30","148.83","4,776,500"
"87","Nov 09, 2017","1.5 Dividend",NA,NA,NA,NA,NA
"88","Nov 08, 2017","151.60","151.79","150.28","151.57","148.61","4,634,400"
"89","Nov 07, 2017","151.37","151.51","150.50","151.35","148.39","3,701,100"
"90","Nov 06, 2017","151.77","151.82","150.28","150.84","147.89","4,498,400"
"91","Nov 03, 2017","153.42","153.47","151.49","151.58","148.62","4,431,800"
"92","Nov 02, 2017","154.18","154.49","152.91","153.35","150.35","3,397,600"
"93","Nov 01, 2017","154.10","154.90","153.83","154.03","151.02","3,240,200"
"94","Oct 31, 2017","154.33","154.93","152.93","154.06","151.05","4,328,300"
"95","Oct 30, 2017","153.76","154.59","152.71","154.36","151.34","4,210,400"
