"","Date","Open","High","Low","Close","Adj_Close","Volume"
"65","Apr 13, 2017","169.92","171.36","169.53","169.53","167.89","3,205,500"
"66","Apr 12, 2017","171.04","171.20","170.02","170.66","169.01","3,276,900"
"67","Apr 11, 2017","170.65","171.23","168.98","170.58","168.93","4,891,900"
"68","Apr 10, 2017","172.53","172.56","171.00","171.20","169.54","3,789,900"
"69","Apr 07, 2017","172.08","172.93","171.28","172.14","170.47","3,588,300"
"70","Apr 06, 2017","173.47","173.47","172.25","172.45","170.78","3,435,400"
"71","Apr 05, 2017","174.70","176.33","172.81","172.88","171.21","6,238,900"
"72","Apr 04, 2017","173.52","174.96","173.26","174.52","172.83","3,108,900"
"73","Apr 03, 2017","173.82","174.87","173.38","174.50","172.81","4,286,500"
"74","Mar 31, 2017","173.98","174.95","173.69","174.14","172.46","2,913,700"
"75","Mar 30, 2017","173.86","174.59","173.69","173.86","172.18","3,168,300"
"76","Mar 29, 2017","174.30","174.49","173.46","173.94","172.26","3,085,600"
"77","Mar 28, 2017","173.94","175.00","173.00","174.51","172.82","3,523,900"
"78","Mar 27, 2017","172.69","174.16","172.09","173.77","172.09","3,259,000"
"79","Mar 24, 2017","175.12","175.50","173.39","173.83","172.15","3,221,700"
"80","Mar 23, 2017","174.43","175.67","173.56","174.82","173.13","3,740,000"
"81","Mar 22, 2017","174.04","175.06","172.80","174.78","173.09","3,450,500"
"82","Mar 21, 2017","176.01","176.23","173.84","173.88","172.20","3,927,700"
"83","Mar 20, 2017","175.65","176.18","175.14","175.70","174.00","2,476,100"
"84","Mar 17, 2017","176.29","176.79","175.65","175.65","173.95","5,921,000"
"85","Mar 16, 2017","178.46","179.00","176.82","177.24","175.53","4,311,800"
"86","Mar 15, 2017","175.71","176.28","174.75","175.81","174.11","3,815,500"
"87","Mar 14, 2017","176.18","176.82","175.21","175.72","174.02","3,147,500"
"88","Mar 13, 2017","177.85","178.06","176.42","176.46","174.75","3,482,200"
"89","Mar 10, 2017","178.21","179.49","177.42","177.83","176.11","3,100,300"
"90","Mar 09, 2017","179.15","179.25","175.88","177.18","175.47","5,444,100"
"91","Mar 08, 2017","180.75","180.95","179.30","179.45","177.71","3,557,400"
"92","Mar 07, 2017","180.71","181.29","180.20","180.38","178.63","2,980,500"
"93","Mar 06, 2017","179.72","180.99","179.57","180.47","178.72","3,204,400"
"94","Mar 03, 2017","180.53","181.32","179.76","180.05","178.31","1,822,000"
"95","Mar 02, 2017","181.88","181.88","180.43","180.53","178.78","2,918,200"
"96","Mar 01, 2017","180.48","182.55","180.03","181.95","180.19","3,005,600"
"97","Feb 28, 2017","179.38","180.63","179.35","179.82","178.08","3,273,400"
"98","Feb 27, 2017","181.19","181.25","179.28","179.40","177.66","3,691,300"
"99","Feb 24, 2017","180.21","181.49","179.89","181.35","179.60","3,300,100"
"100","Feb 23, 2017","182.00","182.50","180.92","181.65","179.89","2,282,500"
